machine's epsilon = 2.22e-16
enter n =20
/---------------------------------------------------------------------------------------\
|argument|     series  sum      |    function value   |iteration|       difference      |
|--------|----------------------|---------------------|---------|-----------------------|
|  0.000 | -1.6666666666666667  | -1.6666666666666667 |   2     |      0.000000e+000    |
|  0.025 | -1.6979099332040508  | -1.6979099332040508 |   11    |      0.000000e+000    |
|  0.050 | -1.7305976806422838  | -1.7305976806422834 |   14    |      -4.440892e-016   |
|  0.075 | -1.7648417648417651  | -1.7648417648417649 |   15    |      -2.220446e-016   |
|  0.100 | -1.8007662835249043  | -1.8007662835249043 |   17    |      0.000000e+000    |
|  0.125 | -1.8385093167701865  | -1.8385093167701863 |   19    |      -2.220446e-016   |
|  0.150 | -1.8782249742002066  | -1.8782249742002064 |   20    |      -2.220446e-016   |
|  0.175 | -1.9200858138911239  | -1.9200858138911234 |   22    |      -4.440892e-016   |
|  0.200 | -1.9642857142857140  | -1.9642857142857142 |   24    |      2.220446e-016    |
|  0.225 | -2.0110433013658824  | -2.0110433013658819 |   26    |      -4.440892e-016   |
|  0.250 | -2.0606060606060597  | -2.0606060606060606 |   27    |      8.881784e-016    |
|  0.275 | -2.1132552989560272  | -2.1132552989560263 |   29    |      -8.881784e-016   |
|  0.300 | -2.1693121693121697  | -2.1693121693121689 |   31    |      -8.881784e-016   |
|  0.325 | -2.2291450328833511  | -2.2291450328833506 |   34    |      -4.440892e-016   |
|  0.350 | -2.2931785195936136  | -2.2931785195936141 |   36    |      4.440892e-016    |
|  0.375 | -2.3619047619047620  | -2.3619047619047624 |   38    |      4.440892e-016    |
|  0.400 | -2.4358974358974352  | -2.4358974358974361 |   41    |      8.881784e-016    |
|  0.425 | -2.5158294639088212  | -2.5158294639088226 |   44    |      1.332268e-015    |
|  0.450 | -2.6024955436720130  | -2.6024955436720147 |   47    |      1.776357e-015    |
|  0.475 | -2.6968411126826943  | -2.6968411126826970 |   50    |      2.664535e-015    |
|  0.500 | -2.7999999999999958  | -2.8000000000000007 |   53    |      4.884981e-015    |
\---------------------------------------------------------------------------------------/
